debtor,series,Series,counterpart_area,Counterpart-Area,year,value
COD,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,0.212600146210567
COG,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,526.706724661065
COG,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,357.48106456542
COG,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,24.4768221564232
COG,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,16.6126613387882
COL,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,196.06530083833
COL,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,27.6999659118892
COL,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,14.810166364491
COL,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,2.09236974462954
COM,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,466.672112214432
COM,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,61.6815864928559
COM,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,1.90731962800554
COM,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,0.252096702427952
CPV,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,268.995260010352
CPV,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,43.3045312668364
CPV,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,4.95502195630593
CPV,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,0.79769027612774
CRI,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,114.40856166321
CRI,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,38.1985196571324
CRI,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,6.2823497148289
CRI,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,2.09753934134145
DJI,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,112.143358869881
DJI,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,50.700086963461
DJI,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,0.795264292962808
DJI,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,0.359539514586259
DMA,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,96.655653145422
DMA,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,39.3518008932095
DMA,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,2.37854624057451
DMA,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,0.968387000950222
DOM,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,81.7389022782583
DOM,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,31.2715140527631
DOM,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,3.93929332996368
DOM,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,1.50708736345095
DZA,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,74.1009926226152
DZA,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,3.83163384505969
EAP,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,131.989208418009
EAP,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,35.7463301304685
EAP,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,5.73742567032512
EAP,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,1.55385364128362
ECA,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,141.942686415235
ECA,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,34.9473663786263
ECA,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,6.52999694379442
ECA,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,1.60773479359483
ECU,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,387.448612976191
ECU,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,83.1739205763006
ECU,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,10.3687622244287
ECU,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,2.2258709331918
EGY,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,241.73712868194
EGY,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,62.362127998641
EGY,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,9.5739479165427
EGY,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,2.46983890591882
ERI,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,16.9427405830904
ERI,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,5.46295142447638
ETH,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,1420.684910662
ETH,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,143.557895020455
ETH,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,6.22698803111502
ETH,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,0.629226992808625
FJI,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,18.3293699627297
FJI,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,11.3164249180968
FJI,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,1.44442033555405
FJI,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,0.891775020674815
GAB,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,160.711600197498
GAB,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,113.008897324389
GAB,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,5.73195207873546
GAB,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,4.0305838728387
GEO,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,58.7245802873349
GEO,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,0.193529061403798
GHA,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,395.684594154247
GHA,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,102.508416556627
GHA,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,8.73305772681233
GHA,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,2.26243814517624
GIN,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,450.60977337975
GIN,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,62.5944380601787
GIN,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,6.64227032071698
GIN,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,0.922681226043215
GMB,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,192.000406852724
GMB,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,58.0644410730087
GMB,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,3.44841176676616
GMB,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,1.04286290382943
GNB,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,2196.12681813498
GNB,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,145.426436591749
GNB,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,10.0356213292117
GNB,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,0.66455390318981
GRD,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,99.906841922563
GRD,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,41.1828188696067
GRD,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,2.3473315115189
GRD,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,0.967598680986541
GTM,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,136.820220993423
GTM,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,24.602283842424
GTM,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,5.31817712011076
GTM,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,0.95628630098134
GUY,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,346.107481483356
GUY,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,448.075401127103
GUY,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,6.17303900682303
GUY,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,7.99169933368949
HND,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,350.352747284158
HND,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,108.351315089535
HND,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,14.4032095182396
HND,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,4.45438691407099
HTI,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,1131.81702806389
HTI,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,35.0085849401126
HTI,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,1.57713972234662
HTI,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,0.048782999869375
IDA,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,424.565370950664
IDA,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,75.7927840817549
IDA,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,8.37128889644239
IDA,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,1.49443015193008
IDN,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,234.044849541547
IDN,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,62.6316042166298
IDN,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,11.5382191451767
IDN,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,3.08768672449322
IDX,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,581.147699719909
IDX,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,101.779910013588
IDX,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,7.19478259608833
IDX,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,1.26006577252243
IND,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,302.329417618501
IND,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,30.2990427010044
IND,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,13.6904109862393
IND,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,1.37203435356659
IRN,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,108.886189551814
IRN,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,30.4723885700927
IRN,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,4.47706644049166
IRN,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,1.25293123756401
JAM,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,148.247790746297
JAM,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,91.0548596544631
JAM,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,6.75968969611849
JAM,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,4.15185004437014
JOR,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,246.895386904878
JOR,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,127.554052364155
JOR,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,8.10794427778323
JOR,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,4.18882329855949
KAZ,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,13.1868044954173
KAZ,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,0.216704066602295
KEN,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,166.240405458047
KEN,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,104.989738995445
KEN,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,7.68427149836663
KEN,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,4.85302990425664
KGZ,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,119.893966502786
KGZ,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,27.1025468302634
KGZ,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,4.39361612653907
KGZ,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,0.993195823752805
KHM,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,318.976739194876
KHM,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,63.5822374754583
KHM,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,0.152266221408966
KHM,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,0.0303515142626146
LAC,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,245.509407942743
LAC,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,31.4924484488434
LAC,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,11.9261345657497
LAC,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,1.52981175407108
LAO,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,518.243939004253
LAO,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,134.351263898427
LAO,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,1.21362116587441
LAO,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,0.314623144155614
LBN,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,21.4257667073666
LBN,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,0.899977158430382
LBR,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,1302.70348135048
LBR,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,0.109663778151468
LCA,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,33.1606401561183
LCA,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,17.6608901084202
LCA,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,1.47044033450819
LCA,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,0.783135821156525
LDC,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,591.784302458571
LDC,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,92.5039513716526
LDC,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,5.26122158306673
LDC,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,0.822400633902528
LIC,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,111.92231449498
LIC,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,0.776223675595281
LKA,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,193.873128948259
LKA,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,68.3569867524136
LKA,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,3.76460711548311
LKA,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,1.32734845781439
LMC,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,283.463711349539
LMC,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,53.8958170258417
LMC,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,9.84199488310841
LMC,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,1.87128840183424
LMY,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,197.565093747167
LMY,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,37.8890079178764
LMY,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,8.13111733493824
LMY,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,1.55938462225984
LSO,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,113.0247341865
LSO,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,51.5573454870473
LSO,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,2.06143565572949
LSO,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,0.940344173925583
MAR,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,295.501005988786
MAR,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,66.4544213994958
MAR,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,17.9114527596099
MAR,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,4.0280581298916
MDA,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,75.8961600410827
MDA,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,29.6115142795395
MDA,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,1.30027697559207
MDA,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,0.507313811519046
MDG,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,622.41544360198
MDG,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,121.668752268129
MDG,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,3.36490723266016
MDG,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,0.657766558822036
MDV,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,44.6501501922162
MDV,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,39.3874446673695
MDV,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,1.12083278269026
MDV,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,0.988725435850433
MEX,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,187.67908776864
MEX,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,25.8625661019977
MEX,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,12.1353479771788
MEX,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,1.67227602692437
MIC,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,186.458731106721
MIC,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,36.0912629065692
MIC,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,8.1543915705769
MIC,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,1.57837762956971
MKD,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,29.4479434291349
MKD,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,0.996626348423145
MLI,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,652.140055036978
MLI,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,130.889615638673
MLI,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,6.15838017188693
MLI,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,1.23603512378855
MMR,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,562.571042044886
MMR,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,144.9376314102
MMR,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,10.305258654421
MMR,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,2.65498873708837
MNA,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,56.8483063556841
MNA,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,2.33664337471069
MNG,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,111.752906568816
MNG,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,51.2404088224363
MNG,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,2.62651284889317
MNG,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,1.20429612335669
MOZ,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,1826.83504506829
MOZ,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,255.628159508017
MOZ,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,14.2224993171472
MOZ,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,1.99014756907648
MRT,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,528.600328650656
MRT,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,120.609596358741
MRT,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,9.8923591524862
MRT,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,2.25711824179658
MUS,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,53.813594876345
MUS,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,30.6736590040575
MUS,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,2.22185422085535
MUS,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,1.26645318685448
MWI,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,570.935370543914
MWI,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,117.512385843929
MWI,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,7.55754692264507
MWI,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,1.55552697525359
NER,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1994,565.432710289812
NER,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1994,79.2162012575089
NER,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1994,6.56203003661874
NER,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1994,0.919329714356595
